CITY,POPULATION,LATITUDE,LONGITUDE
WestPalmBeach,108161,26.7464,80.1251
Boulder,108090,40.027,105.2519
WestCovina,107847,34.0559,117.9099
BrokenArrow,107403,36.0365,95.781
Clovis,106583,36.8282,119.6849
DalyCity,106472,37.7009,122.465
Lakeland,106420,28.0555,81.9549
SantaMaria,106290,34.9332,120.4438
Norwalk,106178,33.9076,118.0835
SandySprings,105703,33.9315,84.3687
Hillsboro,105164,45.528,122.9357
GreenBay,105139,44.5207,87.9842
Tyler,104798,32.3173,95.3059
WichitaFalls,104724,33.9067,98.5259
Lewisville,104659,33.0466,96.9818
Burbank,104447,34.1901,118.3264
Greeley,103990,40.4153,104.7697
SanMateo,103959,37.5603,122.3106
ElCajon,103768,32.8017,116.9604
JurupaValley,103541,34.0026,117.4676
Rialto,103314,34.1118,117.3883
Davenport,102612,41.5541,90.604
LeagueCity,102010,29.4901,95.1091
Edison,101996,40.504,74.3494
Davie,101871,26.0791,80.285
LasCruces,101759,32.3264,106.7897
SouthBend,101735,41.6769,86.269
Vista,101659,33.1895,117.2386
Woodbridge,101389,40.5607,74.2927
Renton,100953,47.4761,122.192
Lakewood,100758,40.0771,74.2004
SanAngelo,100702,31.4411,100.4505
Clinton,100392,42.5903,82.917
